Visão,Modelo,Acurácia,Precisão,Recall,F1-Score,F1-Macro,Tempo (s)
V1: Sintético → Sintético,LSTM,0.6416666666666667,0.7119892783627291,0.6416666666666667,0.6338165106421243,0.6338165106421242,1.0
V2: Real → Real,LSTM,0.39166666666666666,0.38992042440318303,0.39166666666666666,0.38155996050732893,0.38155996050732893,0.9
V3: Sintético → Real,LSTM,0.39166666666666666,0.42129629629629634,0.39166666666666666,0.3387545232013623,0.3387545232013623,0.4
V4: Real → Real (desbalanceado),LSTM,0.7799795138584704,0.7560457393659843,0.7799795138584704,0.7600382425121542,0.6143326449661801,1820.7
V5: Sintético → Real (desbalanceado),LSTM,0.34433227982452,0.59352833079705,0.34433227982452,0.3999426135182653,0.29646700526227204,31.4
